Sr No,Society,No of flats,City ZOne,Area,Month,Quarter,Date,Response/Mood,Slot,Booked Thorugh,Repeat/new,Society Fees,PW MASKED SALES
54,Supreme palms,250,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,1000,11716.2
55,Iris,200,West,Baner,January,Q3,9-Jan-21,excited,WEEKEND,Self,repeat,1000,7920
56,Marvel Zephyr,200,North,Kharadi,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,1000,7800
57,Kumar Primrose,200,North,Kharadi,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,1000,3000
58,Rohan Mithila Upper parijat,200,North,Vimanagar,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,0,3600
59,Rohan mithila A-Y,350,North,Vimanagar,January,Q3,10-Jan-21,excited,WEEKEND,Self,repeat,1000,5400
60,Lake Vista,650,South,Ambegaon,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,2000,9962.4
61,Pinnac Anand ,150,West,Karvenagar,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,0,8565
62,Kumar parisar,200,Central,Kothrud,January,Q3,16-Jan-21,excited,WEEKEND,Self,repeat,0,3300
63,Sicilia,260,East,Ghorpadi,January,Q3,17-Jan-21,excited,WEEKEND,Self,repeat,1500,8004
64,Yellow blossoms ,260,East,Ghorpadi,January,Q3,17-Jan-21,excited,WEEKEND,Self,repeat,1000,3120
65,Raheja woods,250,East,Kalyaninagar,January,Q3,17-Jan-21,excited,WEEKEND,Self,repeat,0,7920
66,Amanora,1000,East,Hadapsar,January,Q3,31-Jan-21,excited,WEEKEND,Self,repeat,500,4140
67,Kumar Kruti,400,East,Kalyaninagar,January,Q3,31-Jan-21,excited,WEEKEND,Self,repeat,1770,18000
68,Landmark Greens,200,East,Kalyaninagar,January,Q3,31-Jan-21,excited,WEEKEND,Self,repeat,0,4920
69,Kunal Aspiree,200,West,Balewadi,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,0,9720
70,Mont vert biaritz phase 1,88,West,Baner,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,500,7920
71,Gera Empress,200,West,Baner,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,500,5100
72,Sukhwani Sepia,200,West,Wakad,February,Q3,6-Feb-21,excited,WEEKEND,Self,repeat,0,6000
73,Springfield,250,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,11400
74,Sigma One,138,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,4740
75,Om avishkar(Sneh paradise),150,Central,Kothrud,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,7200
76,Antelia ,200,West,Bavdhan,March,Q3,28-Mar-21,excited,WEEKEND,Self,repeat,0,4069.2
77,Sundar sahawas,150,South,Dhayari,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0,1939.2
78,Rajyog phase 2,100,South,Dhayari,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,0,686.4
79,Sundar Sahwas Ph2,200,Central,Sinhagad road,February,Q3,14-Feb-21,dull,WEEKEND,Self,repeat,0,1939.2
80,Sun Universe ,750,Central,Sinhagad road,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,1500,6723.6
81,Amrutwel,150,Central,Warje,November,Q6,19-Nov-21,neutral,Weekday,self,repeat,0,4346.4
82,saudamini,150,Central,Bhusari colony,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,1000,2170.2
83,Mahadkar residency ,200,Central,Bhusari colony,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,500,4165.8
84,Westend village ,200,Central,Bhusari colony,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,0,4924.8
85,House of Aadya,1,Central,Deccan ,February,Q3,20-Feb-21,excited,WEEKEND,Self,repeat,0,728.4
86,Atul Nagar,300,Central,Warje,September,Q5,15-Sep-21,dull,Weekday,self,repeat,500,1382.4
87,RamyaNagri,430,Central,Bibwewadi,February,Q3,21-Feb-21,excited,WEEKEND,Self,repeat,1000,5160
88,Suyog Aditya,96,Central,Bibwewadi,February,Q3,21-Feb-21,excited,WEEKEND,Self,repeat,0,5529
89,Soba Savera,150,Central,Bibwewadi,February,Q3,21-Feb-21,excited,WEEKEND,Self,repeat,500,3775.8
90,Sai Mystique,325,South,Ambegaon,February,Q3,27-Feb-21,excited,WEEKEND,Self,repeat,500,8400
91,Sun Paradise,175,Central,Sinhagad road,February,Q3,27-Feb-21,excited,WEEKEND,Self,repeat,0,6000
92,Vaatsalyapuram-Kumre,200,Central,Kothrud,February,Q3,28-Feb-21,excited,WEEKEND,Self,repeat,0,3634.2
93,Atul Park Ph1,300,Central,Warje,January,Q3,30-Jan-21,excited,WEEKEND,Self,repeat,500,2427.6
94,Hill View,350,Central,Warje,February,Q3,7-Feb-21,excited,WEEKEND,Self,repeat,0,4800
95,Bhosalenagar,300,Central,Bhosalenagar,March,Q3,7-Mar-21,excited,WEEKEND,Self,repeat,0,4830
96,Amanora,1000,East,Hadapsar,March,Q3,7-Mar-21,excited,WEEKEND,Self,repeat,1000,8520
97,Konark Krish,150,East,Keshavnagar,March,Q3,7-Mar-21,excited,WEEKEND,Self,repeat,0,3031.8
98,Rohan leher,300,West,Baner,March,Q3,13-Mar-21,excited,WEEKEND,Self,repeat,0,10380
99,Alcon Renaissant ,200,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0,7320
100,Marvel citine,200,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0,2977.2
101,Nyati empire,300,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0,10132.2
102,Ganga archadia,150,North,Kharadi,March,Q3,14-Mar-21,excited,WEEKEND,SPF,repeat,0,5206.8
103,Shivtara society,200,Central,Kothrud,March,Q3,20-Mar-21,excited,WEEKEND,SPF,repeat,3000,12465
104,Rakshak nagar 1,400,North,Kharadi,March,Q3,21-Mar-21,dull,WEEKEND,SPF,repeat,0,426
105,Rakshak nagar 2,400,North,Kharadi,March,Q3,21-Mar-21,dull,WEEKEND,SPF,repeat,0,4908.6
106,Ajantha Avenue,400,Central,Kothrud,March,Q3,27-Mar-21,excited,WEEKEND,mygate,repeat,2900,11496.6
107,Lakshmi deep,228,West,Wakad,March,Q3,27-Mar-21,dull,WEEKEND,mygate,repeat,3800,1359
108,Kalpataru Splendour,327,West,Wakad,March,Q3,27-Mar-21,excited,WEEKEND,mygate,repeat,3800,18814.8
109,Millenium Acropolis,181,West,Wakad,March,Q3,28-Mar-21,excited,WEEKEND,mygate,repeat,2500,3840
110,Uday HillTop,225,West,Ravet,June,Q4,24-Jun-21,excited,weekday,Self,repeat,0,17280
111,Westend Village,200,Central,Bhusari colony,June,Q4,25-Jun-21,normal,weekday,Self,repeat,750,3803.4
112,The Cliff Garden,600,West,Hinjewadi,July,Q5,3-Jul-21,excited,Weekend,Nobroker,repeat,1500,10002.6
113,ARV Royale,200,East,Hadapsar,July,Q5,10-Jul-21,dull,Weekend,Nobroker,repeat,1500,3360
114,Ivory Estate,500,West,Baner,July,Q5,11-Jul-21,excited,Weekday,Self,repeat,0,3000
115,Peace Valley,280,West,Pimple Saudagar,July,Q5,17-Jul-21,normal,Weekend,MYGATE,repeat,5000,10020
116,Perfect 10,280,West,Balewadi,July,Q5,18-Jul-21,dull,Weekend,MYGATE,repeat,5000,6000
117,Life Montage,400,West,Sus,July,Q5,18-Jul-21,excited,Weekend,MYGATE,repeat,5000,13200
118,Rohan Mithila,200,North,Vimanagar,July,Q5,25-Jul-21,excited,Weekend,self,repeat,0,13500
119,Anveshak Tech (Sandeep Tonapi),0,Central,Sinhagad road,July,Q5,26-Jul-21,,Weekend,Self,repeat,0,4320
120,DSK Gandhkosh,280,West,Baner,July,Q5,31-Jul-21,normal,Weekend,Nobroker,repeat,2500,5854.2
121,Park Ivory,450,West,Wakad,July,Q5,31-Jul-21,excited,,MYGATE,repeat,5000,10108.2
122,Landmark Gardens,200,East,Kalyaninagar,August,Q5,1-Aug-21,normal,Weekend,Self,repeat,0,3420
123,Mountain Glory,300,North,Kharadi,August,Q5,1-Aug-21,dull,Weekend,SPF,repeat,0,2100
124,Marvel Cerise,300,North,Kharadi,August,Q5,1-Aug-21,excited,Weekend,SPF,repeat,0,5580
125,Astonia Royale,500,South,Ambegaon,August,Q5,6-Aug-21,excited,Weekday,Self,repeat,1000,4620
126,Blue Bells AUra,120,West,Baner,August,Q5,7-Aug-21,dull,Weekday,Nobroker,repeat,1000,2756.4
127,Felicitia,130,West,Baner,August,Q5,7-Aug-21,dull,Weekend,Nobroker,repeat,1000,2996.4
128,Windows,320,West,Sus,August,Q5,7-Aug-21,DULL,Weekend,MYGATE,repeat,5000,7329
129,Anshul Kanvas,150,North,Wagholi,August,Q5,8-Aug-21,dull,Weekend,Nobroker,repeat,2500,3096
130,Oxy Ultima,200,North,Wagholi,August,Q5,8-Aug-21,excited,Weekend,Nobroker,repeat,2000,7680
131,Ivory Estate,300,West,Baner,August,Q5,11-Aug-21,neutral,Weekend,Self,repeat,0,1200
132,Sigma One,130,Central,Kothrud,August,Q5,12-Aug-21,excited,Weekday,Self,repeat,0,5368.2
133,Blue Ridge,800,West,Hinjewadi,August,Q5,14-Aug-21,excited,Weekday,Nobroker,repeat,2000,17367
134,The Crown Greens,190,West,Hinjewadi,August,Q5,14-Aug-21,dull,Weekend,MYGATE,repeat,5000,3937.2
135,Forest County,800,North,Kharadi,August,Q5,15-Aug-21,excited,Weekend,SPF,repeat,2000,12088.2
136,Kumar Primavera,500,North,Kharadi,August,Q5,15-Aug-21,excited,Weekend,SPF,repeat,0,4054.2
137,Indradhanu Apartments,200,Central,Kothrud,August,Q5,15-Aug-21,excited,Weekend,Nobroker,repeat,1000,5648.4
138,Sun Universe,750,Central,Sinhagad road,August,Q5,20-Aug-21,excited,Weekend,Self,repeat,1500,10330.8
139,Sun City,300,Central,Sinhagad road,August,Q5,20-Aug-21,neutral,weekday,Self,repeat,500,4375.8
140,Sudatta Sankul,200,Central,Sinhagad road,August,Q5,20-Aug-21,neutral,weekday,Self,repeat,600,3708
141,Pinnac Anand,150,West,Karvenagar,August,Q5,21-Aug-21,excited,weekday,Self,repeat,0,7608
142,Little Millenium School,0,North,Vimanagar,August,Q5,21-Aug-21,dull,Weekend,Self,repeat,0,498
143,Rahul Nagar,300,Central,Kothrud,August,Q5,22-Aug-21,neutral,Weekend,Self,repeat,0,3468
144,Meenaxipuram,200,Central,Sinhagad road,August,Q5,22-Aug-21,excited,Weekend,Self,repeat,0,5640
145,Sicilia,250,East,Ghorpadi,August,Q5,26-Aug-21,neutral,Weekend,Self,repeat,100,3541.8
146,Yellow Blosson,250,East,Ghorpadi,August,Q5,26-Aug-21,neutral,weekday,Self,repeat,500,1752
147,Mont Vert Seville,500,West,Wakad,August,Q5,27-Aug-21,excited,weekday,self,repeat,1000,4063.8
148,Vardhaman Residency,250,West,Wakad,August,Q5,27-Aug-21,dull,weekday,Nobroker,repeat,1000,2734.8
149,Western Avenue,600,West,Hinjewadi,August,Q5,28-Aug-21,dull,weekday,MYGATE,repeat,5000,5256
150,Life Republic 7,850,West,Hinjewadi,August,Q5,28-Aug-21,excited,Weekend,self,repeat,5000,18600
151,Kumar Kruti,500,East,Kalyaninagar,August,Q5,29-Aug-21,excited,Weekend,self,repeat,2000,7800
152,Sneh Paradise,250,Central,Kothrud,August,Q5,29-Aug-21,excited,Weekend,self,repeat,0,10200
153,Sarita Vaibhav,300,Central,Sinhagad road,August,Q5,31-Aug-21,excited,Weekend,self,repeat,0,6000
154,Swarnavilas,45,West,Baner,September,Q5,1-Sep-21,,weekday,nobroker,repeat,500,3600
155,Aureate,120,West,Pimple Saudagar,September,Q5,3-Sep-21,excited,Weekday,nobroker,repeat,1500,4800
156,Shivam Society,160,West,Pimple Saudagar,September,Q5,3-Sep-21,excited,Weekday,Self,repeat,0,8400
157,Ajinkyatara,350,South, Narhe,September,Q5,5-Sep-21,excited,Weekend,nobroker,repeat,1500,8408.4
158,Somani Residency,250,West,Punawle,September,Q5,11-Sep-21,dull,Weekday,nobroker,repeat,1500,1500
159,Palash Housing Society,250,West,Wakad,September,Q5,11-Sep-21,excited,Weekend,Self,repeat,0,7372.2
160,River Residency,1300,North,Moshi,September,Q5,12-Sep-21,excited,Weekend,nobroker,repeat,5000,14476.8
161,sun paradise,200,Central,Sinhagad road,September,Q5,15-Sep-21,dull,Weekend,self,repeat,0,1909.2
162,jardin,250,West,Baner,September,Q5,16-Sep-21,excited,Weekday,nobroker,repeat,700,6229.8
163,beverly hills,250,West,Baner,September,Q5,16-Sep-21,excited,Weekday,nobroker,repeat,1500,3226.8
164,Aeropolis,330,North,Dhanori,September,Q5,17-Sep-21,excited,Weekday,nobroker,repeat,1500,5719.2
165,Atria Soc,330,North,Dhanori,September,Q5,17-Sep-21,dull,Weekday,nobroker,repeat,1500,2340
166,Life Republic 3,700,West,Hinjewadi,September,Q5,18-Sep-21,excited,Weekday,self,repeat,5000,12286.2
167,Life Republic 4,700,West,Hinjewadi,September,Q5,18-Sep-21,excited,Weekend,self,repeat,5000,14869.8
168,Hallmark Soc,300,West,Ravet,September,Q5,21-Sep-21,neutral,Weekend,nobroker,repeat,600,2883
169,Goodwill Soc,250,West,Ravet,September,Q5,21-Sep-21,neutral,Weekday,nobroker,repeat,600,2580
170,Gera Trinity Tower,250,North,Kharadi,September,Q5,25-Sep-21,neutral,Weekday,SPF,repeat,0,2736
171,Ivy Estate,800,North,Wagholi,September,Q5,25-Sep-21,excited,Weekend,nobroker,repeat,1500,17400
172,Roseland residency,900,West,Pimple Saudagar,September,Q5,26-Sep-21,excited,Weekend,self,repeat,2000,13308
173,Rose Icon,1000,West,Pimple Saudagar,September,Q5,26-Sep-21,excited,Weekend,MYGATE,repeat,5000,8094
174,Ishan Srushti,200,Central,Warje,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,0,3436.2
175,The Cliff Garden,600,West,Hinjewadi,October,Q6,9-Oct-21,dull,Weekend,nobroker,repeat,1000,727.2
176,Tinsel County,300,West,Hinjewadi,October,Q6,9-Oct-21,dull,Weekend,nobroker,repeat,1000,3117.6
177,Aishwaryam hamara,1100,North,Moshi,October,Q6,10-Oct-21,dull,Weekend,nobroker,repeat,4500,4376.4
178,High Mont,450,West,Hinjewadi,October,Q6,13-Oct-21,neutral,Weekend,MYGATE,repeat,5000,7254
179,Springfield ,200,Central,Kothrud,October,Q6,15-Oct-21,excited,Weekday,self,repeat,0,6600
180,Ruturang,200,Central,Kothrud,October,Q6,15-Oct-21,excited,Holiday,self,repeat,0,12805.8
181,Shiv Sai Paradise,375,Thane,Thane,October,Q6,16-Oct-21,excited,Holiday,Self,repeat,3000,34906.8
182,Hiranandani Meadows-Mayflower,300,Thane,Thane,October,Q6,17-Oct-21,neutral,Weekend,Self,repeat,4000,11945.4
183,Chaurang Terrace,100,East,Phursungi,October,Q6,19-Oct-21,dull,Weekend,nobroker,repeat,1000,2259
184,Green County,100,East,Phursungi,October,Q6,19-Oct-21,excited,Weekday,nobroker,repeat,1000,5205
185,Sancheti Belcastle,100,East,Mundhwa,October,Q6,20-Oct-21,excited,Weekday,Self,repeat,1500,4620
186,PGD Pinnacle,100,East,Mundhwa,October,Q6,20-Oct-21,neutral,Weekday,Self,repeat,1000,1122
187,Rajveer Palace,200,West,Pimple Saudagar,October,Q6,21-Oct-21,excited,Weekday,Self,repeat,0,10964.4
188,S3 Lifestyle apartment,200,West,Pimple Saudagar,October,Q6,21-Oct-21,neutral,Weekday,Self,repeat,0,2601
189,Capitol Towers,200,West,Wakad,October,Q6,22-Oct-21,dull,Weekday,,repeat,500,1266
190,Amanora,1000,East,Hadapsar,October,Q6,23-Oct-21,excited,Weekday,Self,repeat,5900,20317.8
191,Megapolis-Sunway,1100,West,Hinjewadi,October,Q6,24-Oct-21,Neutral,Weekend,Self,repeat,5000,7764
192,Megapolis-Sparklet,1100,West,Hinjewadi,October,Q6,24-Oct-21,Dull,Weekend,Self,repeat,5000,5163.6
193,Relicon Garden Grove,300,South,Ambegaon,October,Q6,26-Oct-21,excited,Weekend,Self,repeat,0,6794.4
194,Vitthal Heritage,200,South,Ambegaon,October,Q6,26-Oct-21,dull,Weekday,Self,repeat,500,3015.6
195,Sai residency,120,North,Lohegao,October,Q6,27-Oct-21,dull,Weekday,nobroker,repeat,600,2905.2
196,Nyati Equatorial,300,West,Bavdhan,JANUARY,Q7,2-January,,Weekend,,repeat,3000,12900
197,Comfort Zone,500,West,Baner,October,Q6,29-Oct-21,neutral,Weekday,Self,repeat,0,6124.8
198,Iris,108,West,Baner,October,Q6,29-Oct-21,dull,Weekday,Self,repeat,1500,3390
199,Blue Ridge-C tower,650,West,Hinjewadi,October,Q6,30-Oct-21,neutral,Weekday,Nobroker,repeat,3500,4993.8
200,KUL Echoluch,700,West,Hinjewadi,October,Q6,30-Oct-21,dull,Weekend,mygate,repeat,5000,2058
201,Rohit walimbe Online,0,West,Baner,October,Q6,31-Oct-21,,Weekend,Self,repeat,0,4800
202,Life Republic-R3,600,West,Hinjewadi,October,Q6,31-Oct-21,neutral,Weekend,Self,repeat,3000,2683.8
203,Life Republic-R4,800,West,Hinjewadi,October,Q6,31-Oct-21,neutral,Weekend,Self,repeat,5000,3661.8
204,Life Republic-R7,800,West,Hinjewadi,October,Q6,31-Oct-21,neutral,Weekend,Self,repeat,2500,4175.4
205,Karan Palms+Greens,300,Central,Warje,November,Q6,25-Nov-21,neutral,Weekday,Janhavi,repeat,1000,4846.8
206,IVY Estate,600,North,Wagholi,November,Q6,2-Nov-21,excited,Weekday,nobroker,repeat,2500,7715.4
207,umang premier,800,North,Wagholi,November,Q6,2-Nov-21,dull,Weekday,nobroker,repeat,3500,942
208,River Residency phase 3 ,466,North,Moshi,November,Q6,3-Nov-21,excited,Weekday,nobroker,repeat,3500,5288.4
209,Krystal City,300,North,Moshi,November,Q6,3-Nov-21,dull,Weekday,nobroker,repeat,3000,3373.8
210,Blue Ridge-Unit A,800,West,Hinjewadi,November,Q6,6-Nov-21,neutral,Weekday,self,repeat,3000,4963.2
211,Karishma Soc,400,Central,Kothrud,November,Q6,7-Nov-21,excited,Weekend,self,repeat,2000,9960
212,Elementa,900,West,Wakad,November,Q6,9-Nov-21,excited,Weekend,nobroker,repeat,4000,8631.6
213,Sukhwani Sepia,200,West,Wakad,November,Q6,9-Nov-21,excited,Weekday,self,repeat,0,6646.2
214,Gangadham Phase 2,740,Central,Bibwewadi,November,Q6,10-Nov-21,neutral,Weekday,nobroker,repeat,3500,4931.4
215,State Bank Nagar-,300,Central,Bibwewadi,November,Q6,10-Nov-21,dull,Weekday,nobroker,repeat,3000,2172
216,Sun Satellite,181,Central,Sinhagad road,November,Q6,11-Nov-21,excited,Weekday,self,repeat,0,8160
217,Sun Orbit,160,Central,Sinhagad road,November,Q6,11-Nov-21,excited,Weekday,self,repeat,0,8820
218,Miami,400,South,Dhayari,November,Q6,13-Nov-21,excited,Weekday,self,repeat,2500,11100
219,Ruturang-Aranyeshwar,150,Central,Sahakarnagar,November,Q6,13-Nov-21,excited,Weekend,self,repeat,0,7980
220,DSK Vishwa,2000,South,Dhayari,November,Q6,14-Nov-21,excited,Weekend,self,repeat,0,10500
221,Sun Universe,700,Central,Sinhagad road,November,Q6,14-Nov-21,excited,Weekend,self,repeat,1500,18240
222,JARVARI,317,West,Pimple Saudagar,November,Q6,16-Nov-21,neutral,Weekend,nobroker,repeat,2500,4200
223,PARK ROYALE,430,West,Pimple Saudagar,November,Q6,16-Nov-21,neutral,Weekday,self,repeat,3500,6480
224,BIARITZ 1,200,West,Baner,November,Q6,17-Nov-21,neutral,Weekday,self,repeat,1000,4693.8
225,NEA,200,West,Sus,November,Q6,17-Nov-21,neutral,Weekday,nobroker,repeat,1500,2731.2
226,XERBIA,1200,North,Chakan,November,Q6,18-Nov-21,dull,Weekday,nobroker,repeat,3000,1500
227,Oval Nest,300,Central,Warje,October,Q6,3-Oct-21,neutral,Weekend,self,repeat,1500,1956
228,Rahul Nisarg,350,Central,Warje,December,Q2,19-Dec-20,excited,WEEKEND,Self,repeat,500,8400
229,Florencia,300,West,Wakad,November,Q6,20-Nov-21,excited,Weekday,mygate,repeat,5000,7171.2
230,Mont Vert Seville,700,West,Wakad,November,Q6,20-Nov-21,excited,Weekend,self,repeat,1500,4544.4
231,Amit Bloomfield,600,South,Ambegaon,November,Q6,21-Nov-21,neutral,Weekend,self,repeat,5000,6107.4
232,Ajinkyatara,500,Central,Sinhagad road,November,Q6,24-Nov-21,dull,Weekend,nobroker,repeat,1700,1585.2
233,Sudatta Sankul,300,Central,Sinhagad road,November,Q6,24-Nov-21,neutral,Weekday,self,repeat,600,2773.8
234,Rahul Park A wing,87,Central,Warje,February,Q3,14-Feb-21,excited,WEEKEND,Self,repeat,500,1800
235,Pristine Fontana,175,West,Bavdhan,February,Q3,13-Feb-21,excited,WEEKEND,Self,repeat,0,18000
236,Vardhamanpura,340,Central,Bibwewadi,November,Q6,27-Nov-21,dull,Weekday,mygate,repeat,5000,657
237,Lake Vista,700,South,Ambegaon,November,Q6,28-Nov-21,neutral,Weekend,self,repeat,2000,5022.6
238,Pride Aashiyana,450,North,Dhanori,November,Q6,28-Nov-21,excited,Weekend,mygate,repeat,5000,12600
